,H3K9me3,H3K79me2,H3K4me3,H3K27ac,H4K20me1,H3K27me3,H3K36me3,H3K4me2,H3K4me1
10-18973000-21147000,6.8841678103388,1.90636968817258,1.7019461535447,1.50789203084833,2.50130704140224,3.73017952433723,2.5672625156572,2.52684468772345,2.12441430332922
10-35852000-39154000,9.58463822921394,8.28089842051877,5.18985335237674,4.46789147473773,8.88607807002848,6.35133202304909,6.06423597703011,7.50698629132761,4.90928226767839
10-42355000-46819000,16.8225840795609,29.6246998388093,18.1128260021457,16.9586444919133,30.1344150789815,20.9401776302201,23.2556631739909,27.1264865077724,19.6333738776362
10-49287000-50695000,5.02813872158539,3.61215636576331,2.66562241236544,2.02625970175286,4.21310132792569,8.88032577033588,3.90163939568195,3.38016265809962,2.49631677250654
10-52403000-54072000,4.80272463394182,2.6216799209449,2.74008088264164,3.04972333422293,3.19425132201503,5.44595016489557,3.58781716224885,3.62067633325141,2.88696125578441
10-54247000-59933000,7.43723025334594,2.20640607021799,2.20749104985515,1.83578753894081,2.68760273109773,3.70719276623417,3.60297914285542,3.28625636391023,2.56344057279236
10-65498000-69540000,8.004433986826,2.22501464702727,2.11551659711188,1.86412698412698,2.89558459490113,4.9771604796885,3.37463104076824,3.1136298241236,2.35646217986897
10-77030000-79261000,5.88200029005475,2.87216802009698,3.24069500630015,3.02212204448753,4.05498533023276,7.20550152719962,3.63545866153942,3.99394776632302,3.38539685211683
10-7887000-11504000,7.66136414840656,2.27122298160805,1.80277130542397,1.45335948315644,2.7513408723748,3.99857775408962,2.55166274740349,2.4293208614052,1.74562864927988
10-82016000-85000000,8.94280624110521,2.77587631657325,2.48621029821484,2.29350941394855,3.11583336904813,4.07349680297045,3.41923215429421,3.18314946540927,2.57714795291506
10-85600000-88144000,8.63364287714712,3.07239516540884,2.72567390554981,2.9886464487331,3.65879704387202,5.29634764821074,3.63490148704231,3.57066794492471,2.8590747173485
1-100756000-109095000,9.42214130086905,3.19592257410889,2.78262126078844,3.00428352552214,2.9401099463475,4.00818762039182,4.13575186395242,3.74071610827024,2.95664821024721
1-110665000-113045000,5.79908160531533,6.55269560628051,5.48627502671892,5.88148807083709,4.96766275862069,9.66825505517447,6.10507199232082,6.48502525362162,4.51745202742274
1-114500000-114967000,6.91133514986376,3.22183693516699,3.233559775341,2.34234634365186,4.74528711299286,11.9666031443545,6.48930874278474,4.32772962823883,3.02123728655407
1-115076000-116500000,6.24368016647991,6.32544760288502,5.04676019777503,6.46821099793482,4.63128637679355,7.52558667489204,6.2289291927627,6.28299678674108,5.69531590714621
11-20190000-27189000,7.70690682913554,2.93305099606468,2.7370649517239,2.66789068506555,3.49285212242193,5.3517695801054,4.72742758889301,4.14117703573655,3.55713900361293
11-36532000-43900000,7.1245212446513,2.72813908977342,2.29420637961812,1.98401813848032,2.88919975344934,3.88816522384368,3.65926533173822,3.09910172501886,2.37332562101343
11-44900000-45791000,5.58334056399132,3.82787871567284,4.27129860719749,3.93495159386068,5.89016869614467,13.9861680682293,4.6773257509478,5.29179487179487,3.99962971366338
11-48153000-51593000,12.9076552017175,6.29483289317913,5.7314788434644,4.48831268496785,7.32095558524767,7.54138542670579,8.16587793263139,7.15995009819785,5.06963351809586
1-152020000-153458000,6.38388844462215,2.76652513354335,2.89002222371877,4.23866499791406,4.32487943262411,9.71895194156094,3.64021989199138,4.17349231779383,3.84810816106594
11-54695000-57069000,10.7013628318584,2.61220610793474,2.37384717149349,2.02926066459699,3.2433830557567,4.13620724984144,3.45382077866771,3.17617860435288,2.44036996552594
1-157029000-160148000,6.03943609362292,4.32862909120442,3.86226448262085,6.06318116576882,4.27197233303502,8.18043831677511,4.57836496095624,5.03182334415545,4.52824339050861
